,Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
4074,27.08.04,16:00:00,1.6,-200.0,92,-200.0,-200.0,,
833,14.04.04,12:00:00,2.1,10.4,95,18.4,34.2,136.5252735,150.365296
5566,28.10.04,9:00:00,3.5,20.0,97,16.7,73.8,,
4478,13.09.04,15:00:00,2.0,11.3,208,32.6,31.8,,
4373,08.09.04,19:00:00,4.7,24.1,176,29.9,22.3,,
172,17.03.04,19:00:00,7.6,38.4,194,23.1,26.5,42.4817857,56.30501438
5332,18.10.04,17:00:00,-200.0,36.5,-200,19.7,57.8,,
5939,13.11.04,7:00:00,0.9,3.3,86,16.1,55.4,,
1201,29.04.04,17:00:00,4.9,24.8,143,20.8,45.3,37.91469745,143.1502208
2407,19.06.04,20:00:00,1.7,-200.0,91,-200.0,-200.0,,
7398,13.01.05,5:00:00,0.9,3.2,77,7.0,77.3,,
6217,24.11.04,0:00:00,3.9,18.6,135,10.1,83.5,,
3367,29.07.04,3:00:00,-200.0,2.4,-200,25.1,32.6,,
7171,03.01.05,7:00:00,1.8,-200.0,121,-200.0,-200.0,,
1123,26.04.04,12:00:00,1.5,6.6,80,19.6,30.9,176.0463426,219.65747909999996
6746,16.12.04,7:00:00,1.6,-200.0,99,-200.0,-200.0,,
1592,16.05.04,6:00:00,0.4,2.0,47,14.2,49.9,123.8547185,67.97466771
4588,17.09.04,17:00:00,2.9,15.2,112,23.6,42.8,,
1155,27.04.04,19:00:00,3.9,21.6,131,23.7,30.2,189.4136555,207.5988875
8625,05.03.05,5:00:00,1.1,3.5,110,4.2,62.5,,
3818,16.08.04,8:00:00,1.6,10.9,65,23.6,40.8,,
2443,20.06.04,2:00:00,1.0,-200.0,60,-200.0,-200.0,,
6465,05.12.04,8:00:00,0.8,1.9,68,13.2,62.5,,
3229,23.07.04,15:00:00,1.5,12.3,123,43.1,13.8,,
8220,16.02.05,5:00:00,0.8,3.8,137,3.2,52.4,,
3609,08.08.04,7:00:00,0.6,2.8,38,24.3,58.4,,
8144,13.02.05,17:00:00,1.0,4.3,100,17.1,35.8,,
4617,19.09.04,7:00:00,1.0,4.8,62,16.8,66.8,,
2094,06.06.04,13:00:00,0.5,2.3,48,25.9,28.8,,
4976,04.10.04,5:00:00,-200.0,4.0,-200,17.7,70.3,,
2124,07.06.04,12:00:00,1.9,11.8,132,31.3,24.1,,
2031,03.06.04,23:00:00,-200.0,7.8,-200,21.0,48.1,,
5704,03.11.04,13:00:00,2.6,13.2,86,26.3,43.6,,
4954,03.10.04,2:00:00,-200.0,5.1,-200,21.2,61.5,,
9067,23.03.05,17:00:00,2.5,12.3,159,23.2,23.3,,
2330,15.06.04,17:00:00,3.1,18.4,143,32.6,24.1,,
6141,21.11.04,20:00:00,1.1,6.3,147,9.8,36.0,,
4206,02.09.04,3:00:00,0.6,3.1,-200,22.7,51.3,,
2576,26.06.04,2:00:00,0.9,4.5,61,21.2,37.6,,
2312,15.06.04,4:00:00,0.4,2.0,38,20.8,48.5,,
7744,27.01.05,16:00:00,1.5,4.7,139,7.0,33.5,,
3666,10.08.04,17:00:00,1.8,9.7,126,39.6,23.3,,
2976,12.07.04,12:00:00,2.1,12.1,104,28.5,27.3,,
1673,19.05.04,15:00:00,2.3,14.0,125,31.6,21.0,118.0608961,70.43932786
5350,19.10.04,18:00:00,-200.0,23.6,-200,21.2,61.7,,
1030,22.04.04,11:00:00,-200.0,15.4,-200,26.1,26.8,179.96606169999998,204.04437190000002
8205,15.02.05,10:00:00,1.6,5.3,168,9.4,32.7,,
5743,05.11.04,4:00:00,0.5,2.8,41,16.5,71.0,,
1149,27.04.04,12:00:00,2.4,14.6,87,27.2,22.0,184.138724,215.3770756
4575,17.09.04,23:00:00,1.3,6.3,94,22.1,42.8,,
8634,05.03.05,14:00:00,2.2,8.3,162,13.4,29.0,,
6747,16.12.04,5:00:00,1.0,-200.0,74,-200.0,-200.0,,
3611,08.08.04,2:00:00,0.8,4.5,39,24.9,57.3,,
8357,21.02.05,20:00:00,6.3,19.7,283,5.5,79.8,,
8153,13.02.05,18:00:00,2.6,11.6,132,15.5,40.7,,
4591,18.09.04,4:00:00,-200.0,2.7,45,20.6,45.9,,
7599,21.01.05,15:00:00,3.0,16.8,139,13.1,48.0,,
3046,15.07.04,12:00:00,2.0,12.1,130,33.4,24.7,,
6778,18.12.04,13:00:00,0.8,3.8,78,15.9,18.2,,
3741,13.08.04,11:00:00,1.2,5.8,109,35.7,29.0,,
1721,21.05.04,22:00:00,2.5,13.3,126,20.5,35.9,111.5518846,64.69212772
4509,14.09.04,12:00:00,-200.0,15.8,-200,32.3,35.9,,
5425,22.10.04,8:00:00,4.1,28.0,91,20.4,66.7,,
5448,23.10.04,11:00:00,3.0,16.2,102,23.3,57.5,,
9106,25.03.05,3:00:00,1.0,4.1,101,13.9,80.4,,
8033,08.02.05,5:00:00,0.6,1.3,69,6.4,42.7,,
957,19.04.04,14:00:00,-200.0,7.9,-200,12.1,75.6,170.98986000000002,205.664959
3416,31.07.04,5:00:00,0.8,4.7,49,23.7,54.6,,
212,19.03.04,15:00:00,3.5,19.0,139,16.4,47.5,38.42220876,52.56436663
7479,16.01.05,22:00:00,1.2,3.9,130,7.0,41.5,,
2682,30.06.04,23:00:00,2.6,14.2,112,27.8,45.2,,
7199,04.01.05,2:00:00,1.3,-200.0,97,-200.0,-200.0,,
4416,10.09.04,13:00:00,2.6,15.6,165,33.3,18.9,,
330,24.03.04,13:00:00,1.7,8.7,96,16.9,34.6,80.54386816,101.2499949
5458,24.10.04,6:00:00,1.2,7.5,47,17.3,78.4,,
2823,06.07.04,6:00:00,1.6,10.2,97,21.8,52.5,,
6879,22.12.04,23:00:00,1.9,5.7,132,4.5,43.9,,
5651,01.11.04,23:00:00,2.7,13.0,71,19.3,75.8,,
6020,16.11.04,22:00:00,2.2,7.8,142,10.7,47.5,,
7844,31.01.05,11:00:00,2.8,12.5,256,10.0,22.4,,
2361,17.06.04,2:00:00,1.0,4.4,68,20.8,51.7,,
2680,30.06.04,22:00:00,2.5,14.4,110,28.9,41.0,,
6501,06.12.04,16:00:00,2.7,15.6,114,18.7,53.0,,
8329,20.02.05,20:00:00,1.5,4.6,149,7.4,59.3,,
110,15.03.04,7:00:00,2.2,9.7,89,11.3,70.2,26.80183361,51.76547853
3780,15.08.04,7:00:00,0.5,2.5,28,23.0,58.4,,
8226,16.02.05,23:00:00,2.4,8.3,200,5.8,40.3,,
6565,09.12.04,2:00:00,0.8,2.0,66,14.7,67.3,,
7907,03.02.05,7:00:00,0.6,4.2,134,1.3,63.1,,
6909,23.12.04,16:00:00,4.3,17.9,177,11.3,33.6,,
4225,02.09.04,7:00:00,2.9,20.0,27,21.6,57.2,,
4641,20.09.04,2:00:00,0.7,3.0,43,21.4,57.6,,
5374,20.10.04,11:00:00,-200.0,26.0,-200,22.4,64.6,,
4374,09.09.04,4:00:00,0.2,2.3,68,21.4,35.7,,
7143,02.01.05,2:00:00,1.3,3.6,96,4.5,63.6,,
7804,29.01.05,21:00:00,1.5,2.9,140,3.1,47.4,,
4101,28.08.04,9:00:00,1.7,8.3,81,24.7,41.8,,
304,23.03.04,18:00:00,1.9,9.3,97,13.7,49.5,90.5395171,112.1893634
841,14.04.04,21:00:00,-200.0,13.0,-200,14.8,49.7,141.193427,161.76959480000002
3120,18.07.04,10:00:00,0.9,7.4,97,31.6,23.8,,
4176,31.08.04,10:00:00,-200.0,15.3,-200,29.8,38.8,,
537,02.04.04,5:00:00,0.7,2.6,66,11.3,72.9,70.60119155,113.9200067
4466,12.09.04,19:00:00,-200.0,12.6,-200,25.7,55.8,,
5555,28.10.04,5:00:00,0.8,5.2,48,15.2,78.0,,
8729,09.03.05,15:00:00,1.9,8.6,121,17.3,34.5,,
7138,02.01.05,5:00:00,1.1,2.7,75,3.1,69.2,,
2004,02.06.04,13:00:00,-200.0,4.7,34,29.6,33.4,,
7111,01.01.05,9:00:00,1.0,3.0,86,3.9,59.0,,
7563,19.01.05,2:00:00,0.4,4.4,109,9.9,79.8,,
1772,23.05.04,20:00:00,0.9,5.5,56,23.9,40.4,112.69830120000002,68.61317577
68,13.03.04,9:00:00,3.7,15.1,119,9.6,59.7,35.5065547,51.74483208
1077,24.04.04,14:00:00,2.0,11.0,95,24.3,41.8,184.4853198,201.3031909
7883,02.02.05,7:00:00,2.4,5.2,136,3.5,60.9,,
645,06.04.04,18:00:00,3.0,15.0,120,16.8,44.3,150.71732880000002,142.3909968
9324,03.04.05,0:00:00,0.8,2.5,102,13.5,37.4,,
121,15.03.04,8:00:00,5.5,25.9,114,12.4,63.9,23.85485859,52.73550607
6604,10.12.04,19:00:00,4.2,18.7,164,13.7,22.9,,
2774,04.07.04,4:00:00,0.6,4.3,49,21.2,56.8,,
6000,15.11.04,9:00:00,2.4,8.6,162,11.1,38.1,,
4592,18.09.04,3:00:00,0.6,2.4,-200,20.4,47.1,,
8064,09.02.05,0:00:00,0.8,-200.0,99,-200.0,-200.0,,
4325,06.09.04,19:00:00,2.9,13.5,-200,28.0,30.1,,
9177,28.03.05,3:00:00,1.0,2.7,78,13.7,80.6,,
5509,26.10.04,23:00:00,1.6,7.5,78,17.7,78.8,,
2876,08.07.04,7:00:00,2.2,16.9,115,25.9,37.4,,
1393,07.05.04,9:00:00,3.4,15.0,127,16.0,50.9,53.84338889,162.6307419
1913,29.05.04,16:00:00,0.6,5.1,75,23.8,29.2,,
4759,25.09.04,3:00:00,0.3,1.0,-200,15.3,52.4,,
8249,17.02.05,10:00:00,1.8,5.4,167,10.1,36.7,,
3949,22.08.04,5:00:00,-200.0,3.7,-200,19.4,64.5,,
7044,29.12.04,7:00:00,-200.0,2.0,-200,10.1,65.9,,
6486,06.12.04,0:00:00,1.0,2.3,64,13.2,62.9,,
3964,22.08.04,21:00:00,-200.0,7.4,-200,26.5,36.6,,
9346,04.04.05,1:00:00,0.6,1.9,58,13.8,51.2,,
3177,21.07.04,14:00:00,-200.0,7.5,86,40.1,15.2,,
8311,20.02.05,7:00:00,0.5,1.1,56,7.8,55.7,,
3529,04.08.04,11:00:00,-200.0,9.9,-200,35.6,30.6,,
1875,27.05.04,9:00:00,-200.0,24.5,-200,21.8,35.0,,
1563,14.05.04,19:00:00,4.5,21.8,164,24.6,25.1,118.7866062,69.54573207
5536,27.10.04,17:00:00,2.4,15.8,101,20.0,63.3,,
320,24.03.04,4:00:00,-200.0,1.7,66,10.2,62.7,89.03976134,107.8981956
2991,13.07.04,13:00:00,2.3,11.5,112,34.5,13.3,,
4573,17.09.04,22:00:00,1.2,5.5,90,22.2,42.7,,
2254,12.06.04,16:00:00,1.4,9.0,84,36.4,21.0,,
7124,01.01.05,22:00:00,2.1,6.4,130,5.7,59.9,,
5148,11.10.04,0:00:00,1.3,6.1,55,20.1,70.5,,
524,01.04.04,21:00:00,2.5,10.8,124,16.8,44.0,80.19171107,103.6262158
3574,06.08.04,20:00:00,2.6,13.2,116,26.4,54.6,,
9093,24.03.05,10:00:00,3.5,18.1,132,17.9,42.2,,
1436,09.05.04,5:00:00,-200.0,8.1,-200,11.9,71.1,119.57501629999999,67.24075954
3211,22.07.04,22:00:00,2.3,13.6,100,30.4,35.4,,
7170,03.01.05,10:00:00,1.9,-200.0,130,-200.0,-200.0,,
7282,08.01.05,2:00:00,1.4,4.6,95,7.0,73.6,,
4107,28.08.04,21:00:00,-200.0,8.8,-200,27.3,44.5,,
4433,11.09.04,7:00:00,-200.0,10.8,-200,19.9,50.8,,
9228,30.03.05,0:00:00,1.2,4.9,101,13.0,71.9,,
1899,28.05.04,7:00:00,-200.0,19.2,-200,16.3,51.3,,
5472,24.10.04,16:00:00,2.0,9.7,87,26.5,44.9,,
2069,04.06.04,7:00:00,-200.0,17.0,-200,20.6,49.0,,
9163,27.03.05,18:00:00,1.6,4.4,122,13.8,83.5,,
4333,07.09.04,14:00:00,1.4,7.9,-200,31.5,21.5,,
6187,23.11.04,15:00:00,5.1,25.5,202,14.2,66.8,,
1987,01.06.04,9:00:00,2.3,15.2,103,18.5,70.3,,
4682,21.09.04,18:00:00,5.6,30.3,204,28.5,37.2,,
896,17.04.04,17:00:00,-200.0,5.0,-200,17.9,49.9,140.75742490000002,155.07414350000002
3678,11.08.04,4:00:00,0.5,3.2,24,26.4,61.6,,
3019,14.07.04,14:00:00,2.0,14.4,127,35.7,13.6,,
3537,05.08.04,1:00:00,-200.0,4.5,-200,25.4,52.9,,
8360,22.02.05,2:00:00,0.7,1.1,66,3.9,83.1,,
5138,10.10.04,1:00:00,2.0,11.9,74,23.9,59.2,,
1310,04.05.04,10:00:00,1.3,7.9,65,20.3,54.8,38.24260237,129.9743053
7029,28.12.04,20:00:00,-200.0,11.3,-200,12.0,60.8,,
4096,28.08.04,13:00:00,1.1,5.8,64,33.4,22.5,,
1419,08.05.04,11:00:00,-200.0,10.1,-200,13.8,72.3,120.4252207,61.84726257
681,08.04.04,3:00:00,0.8,3.3,-200,7.6,80.6,155.0913966,154.82726090000003
1018,22.04.04,1:00:00,-200.0,4.6,-200,16.2,53.4,173.7193035,213.4552274
4849,28.09.04,10:00:00,3.7,19.9,177,21.0,37.2,,
40,12.03.04,11:00:00,2.7,11.6,143,14.3,38.4,40.48583547,55.55555432
2451,20.06.04,14:00:00,0.7,-200.0,35,-200.0,-200.0,,
7032,28.12.04,17:00:00,-200.0,14.9,-200,13.1,54.3,,
5728,04.11.04,13:00:00,-200.0,20.2,139,24.7,47.4,,
5451,23.10.04,12:00:00,3.4,19.4,118,25.0,52.4,,
7603,21.01.05,11:00:00,4.2,20.5,183,9.3,54.5,,
3373,29.07.04,14:00:00,-200.0,7.1,95,34.8,19.5,,
7206,05.01.05,0:00:00,1.7,-200.0,129,-200.0,-200.0,,
5119,10.10.04,5:00:00,0.7,3.7,39,22.2,65.6,,
7009,27.12.04,9:00:00,2.3,10.0,138,12.5,63.2,,
5730,04.11.04,11:00:00,-200.0,19.7,130,23.6,48.0,,
2913,10.07.04,17:00:00,0.7,5.5,69,31.8,18.7,,
3733,13.08.04,17:00:00,1.0,4.6,70,34.0,25.2,,
8239,17.02.05,6:00:00,0.5,1.1,51,6.9,42.2,,
4706,22.09.04,17:00:00,5.0,27.3,218,32.2,28.8,,
6749,16.12.04,4:00:00,-200.0,-200.0,81,-200.0,-200.0,,
1939,30.05.04,2:00:00,0.6,6.5,76,19.2,42.0,,
6165,22.11.04,22:00:00,2.4,16.9,164,8.5,57.8,,
6802,19.12.04,6:00:00,0.8,2.4,62,4.8,49.9,,
5479,25.10.04,4:00:00,-200.0,4.3,37,15.5,78.6,,
345,25.03.04,2:00:00,0.7,1.8,54,9.1,68.1,82.94581804,104.63480809999999
7279,08.01.05,5:00:00,1.2,3.4,94,7.4,71.7,,
5036,06.10.04,11:00:00,-200.0,17.7,-200,25.7,46.4,,
437,28.03.04,0:00:00,2.3,8.9,102,10.9,55.9,83.79785982,102.2501227
6039,17.11.04,22:00:00,2.6,9.2,198,10.5,61.1,,
3356,28.07.04,21:00:00,-200.0,9.6,102,28.6,27.2,,
8387,23.02.05,7:00:00,0.7,2.2,117,4.5,76.3,,
2464,21.06.04,16:00:00,1.6,9.0,102,30.3,19.0,,
8940,18.03.05,1:00:00,1.3,5.1,134,11.9,53.4,,
3319,27.07.04,4:00:00,-200.0,2.4,46,24.6,43.4,,
4482,13.09.04,17:00:00,3.1,18.5,145,34.3,24.7,,
4335,07.09.04,0:00:00,1.2,5.2,-200,24.6,40.5,,
5357,19.10.04,8:00:00,-200.0,37.9,-200,15.8,71.7,,
4052,26.08.04,16:00:00,1.0,-200.0,60,-200.0,-200.0,,
8742,10.03.05,16:00:00,1.8,5.9,131,20.2,14.4,,
1657,18.05.04,17:00:00,3.0,19.3,130,30.9,20.5,113.26920159999999,60.86527719
1600,16.05.04,1:00:00,1.5,7.1,88,17.0,43.3,125.35692639999999,65.91994047
3435,31.07.04,9:00:00,2.8,12.5,125,27.3,47.1,,
5044,06.10.04,20:00:00,-200.0,31.0,-200,23.3,54.4,,
8228,16.02.05,2:00:00,2.0,8.0,174,4.4,47.5,,
4160,31.08.04,2:00:00,-200.0,2.9,-200,22.7,60.8,,
1495,12.05.04,3:00:00,0.6,3.1,-200,14.9,65.7,123.7627211,70.72815741
3480,02.08.04,11:00:00,1.9,11.0,119,34.0,32.7,,
7263,07.01.05,10:00:00,2.4,9.3,123,7.7,73.8,,
1813,25.05.04,3:00:00,-200.0,1.2,-200,13.3,35.6,,
4228,02.09.04,19:00:00,-200.0,28.6,-200,32.8,29.4,,
7418,13.01.05,11:00:00,3.6,16.5,175,11.7,62.7,,
8872,15.03.05,15:00:00,1.9,10.9,146,23.6,23.2,,
8359,22.02.05,4:00:00,0.4,0.5,46,3.4,85.4,,
8342,21.02.05,22:00:00,1.4,4.4,143,5.6,71.9,,
7334,10.01.05,1:00:00,1.7,7.4,119,13.1,68.7,,
1838,26.05.04,8:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
1028,22.04.04,16:00:00,-200.0,19.1,-200,31.3,16.2,176.9206112,209.4942041
3399,30.07.04,23:00:00,-200.0,10.7,85,27.0,41.6,,
7281,08.01.05,3:00:00,1.4,3.8,-200,7.2,72.3,,
6997,27.12.04,1:00:00,1.5,3.9,114,11.5,74.2,,
5556,28.10.04,22:00:00,1.0,4.8,63,20.4,60.4,,
6188,23.11.04,12:00:00,5.3,26.5,198,13.3,66.9,,
768,11.04.04,18:00:00,1.4,4.0,80,17.9,30.8,138.1328429,155.5341628
385,26.03.04,17:00:00,2.3,11.2,102,14.2,43.3,78.21695559,116.85101470000001
2956,11.07.04,0:00:00,2.3,11.6,116,22.7,45.3,,
7876,01.02.05,11:00:00,4.5,21.4,218,5.8,54.1,,
993,21.04.04,5:00:00,-200.0,3.7,-200,10.1,71.8,189.5982803,211.18314109999997
4586,17.09.04,19:00:00,3.1,15.9,129,22.8,42.5,,
6671,13.12.04,11:00:00,4.8,22.4,214,12.0,45.9,,
3766,14.08.04,23:00:00,0.9,4.9,47,26.7,49.5,,
252,21.03.04,3:00:00,1.6,6.5,-200,15.2,57.9,45.96762656,56.68757989
4996,04.10.04,18:00:00,-200.0,41.6,-200,26.0,43.9,,
1585,15.05.04,19:00:00,2.5,12.1,120,23.0,28.7,117.8919524,62.78186677
1890,28.05.04,10:00:00,-200.0,9.6,-200,24.3,35.1,,
6379,01.12.04,11:00:00,3.2,13.0,143,11.0,74.4,,
9249,31.03.05,21:00:00,1.0,2.3,93,16.3,44.8,,
5763,05.11.04,9:00:00,6.2,37.9,118,16.5,69.3,,
7079,30.12.04,23:00:00,-200.0,4.2,-200,7.7,47.2,,
5701,03.11.04,21:00:00,2.4,12.7,90,21.7,57.7,,
4224,02.09.04,20:00:00,-200.0,17.0,-200,30.0,35.9,,
8820,13.03.05,0:00:00,0.1,2.8,107,12.5,55.4,,
3514,04.08.04,21:00:00,-200.0,5.7,-200,27.6,45.2,,
3953,22.08.04,18:00:00,-200.0,5.3,-200,34.6,20.0,,
4557,16.09.04,6:00:00,1.4,10.1,53,19.7,74.4,,
2382,18.06.04,4:00:00,0.3,1.8,32,22.8,48.1,,
1734,22.05.04,5:00:00,0.5,3.6,59,15.8,53.8,115.12102970000001,69.60247854
1204,29.04.04,19:00:00,6.5,32.6,146,20.2,50.8,47.39910677,144.77449950000002
8072,10.02.05,21:00:00,4.5,-200.0,225,-200.0,-200.0,,
6611,11.12.04,3:00:00,1.1,3.6,-200,11.7,33.8,,
6964,25.12.04,18:00:00,4.6,17.8,184,11.2,70.8,,
447,29.03.04,21:00:00,1.2,3.8,90,13.1,34.4,73.84497365,120.926079
2326,15.06.04,20:00:00,2.9,15.3,127,26.8,35.1,,
6838,20.12.04,2:00:00,1.2,2.8,83,9.7,70.9,,
2930,10.07.04,1:00:00,1.5,9.6,95,22.2,49.5,,
1561,14.05.04,18:00:00,4.1,19.1,144,25.2,24.3,130.3232112,65.33635879
5344,19.10.04,16:00:00,-200.0,15.1,-200,21.7,57.6,,
4504,14.09.04,20:00:00,-200.0,6.7,-200,20.3,77.2,,
9156,27.03.05,3:00:00,1.0,3.9,74,16.2,64.3,,
1483,11.05.04,23:00:00,2.2,12.4,100,17.3,58.8,130.7179458,63.05701254
7959,05.02.05,10:00:00,1.3,4.9,200,7.5,39.2,,
4819,27.09.04,6:00:00,1.5,9.0,99,14.4,60.3,,
8711,08.03.05,18:00:00,3.1,16.5,204,13.2,23.9,,
5009,05.10.04,9:00:00,-200.0,21.6,-200,20.6,58.5,,
4503,14.09.04,14:00:00,-200.0,8.2,-200,34.0,33.6,,
8494,27.02.05,4:00:00,-200.0,4.6,119,2.8,70.9,,
7076,30.12.04,17:00:00,-200.0,4.8,-200,9.8,36.4,,
459,29.03.04,18:00:00,2.5,10.2,114,16.1,31.3,87.94836014,108.08933020000002
6133,21.11.04,2:00:00,0.5,4.9,120,5.3,48.7,,
8027,08.02.05,22:00:00,1.1,-200.0,127,-200.0,-200.0,,
2819,06.07.04,15:00:00,2.0,12.7,151,40.2,13.9,,
844,14.04.04,20:00:00,-200.0,18.1,-200,16.5,42.1,150.6592071,145.740261
7325,09.01.05,15:00:00,3.8,18.1,145,16.4,53.2,,
2278,13.06.04,19:00:00,1.0,3.5,72,20.3,42.6,,
2510,23.06.04,12:00:00,2.2,13.1,106,34.9,20.5,,
8170,14.02.05,12:00:00,2.1,7.6,111,11.8,36.2,,
4727,23.09.04,8:00:00,2.8,18.8,104,23.7,54.4,,
1567,15.05.04,4:00:00,-200.0,4.4,58,14.6,51.4,129.6704145,62.72320675
3133,19.07.04,14:00:00,-200.0,10.1,123,40.5,14.9,,
3122,18.07.04,9:00:00,0.9,7.1,102,25.7,34.8,,
1032,22.04.04,20:00:00,-200.0,22.4,-200,22.0,34.8,190.25800869999998,206.5477522
3199,22.07.04,3:00:00,0.9,4.8,-200,25.2,51.4,,
6974,26.12.04,14:00:00,1.0,2.7,88,14.9,57.9,,
8753,10.03.05,22:00:00,2.1,7.6,184,9.5,34.6,,
4477,13.09.04,6:00:00,-200.0,8.3,-200,19.7,70.3,,
6731,16.12.04,16:00:00,5.5,-200.0,236,-200.0,-200.0,,
4191,01.09.04,16:00:00,2.1,12.3,118,35.5,21.2,,
8629,05.03.05,2:00:00,1.7,4.0,157,5.8,59.6,,
7077,30.12.04,10:00:00,-200.0,5.0,-200,10.8,35.1,,
8770,11.03.05,4:00:00,-200.0,3.2,91,4.4,56.4,,
3118,18.07.04,11:00:00,0.8,7.3,91,36.3,16.3,,
1188,29.04.04,6:00:00,1.5,9.4,68,12.9,66.5,170.62647330000001,210.1838285
5725,04.11.04,0:00:00,1.8,9.9,66,18.7,69.0,,
4080,27.08.04,23:00:00,1.2,-200.0,85,-200.0,-200.0,,
6609,11.12.04,5:00:00,0.8,2.4,76,10.5,37.8,,
3603,07.08.04,23:00:00,1.9,10.9,93,26.3,51.3,,
1544,14.05.04,12:00:00,2.0,10.5,97,25.9,23.6,122.662098,67.85369715
3859,18.08.04,11:00:00,-200.0,7.0,-200,33.1,32.6,,
4937,02.10.04,0:00:00,-200.0,10.9,-200,20.6,64.0,,
8418,24.02.05,23:00:00,2.1,7.9,192,5.5,81.5,,
7015,28.12.04,6:00:00,-200.0,1.8,-200,10.4,64.8,,
5972,14.11.04,2:00:00,0.6,1.0,44,10.4,53.7,,
6019,16.11.04,16:00:00,2.4,11.4,148,17.6,23.7,,
2457,21.06.04,3:00:00,0.3,-200.0,-200,-200.0,-200.0,,
9013,21.03.05,0:00:00,1.5,5.3,99,13.1,66.1,,
5819,08.11.04,7:00:00,0.7,2.1,72,10.8,49.7,,
1948,30.05.04,20:00:00,1.3,10.1,113,25.0,26.9,,
4664,21.09.04,2:00:00,0.6,3.1,50,22.1,49.8,,
8819,13.03.05,5:00:00,-200.0,2.0,61,12.3,55.9,,
2483,22.06.04,0:00:00,1.1,6.4,79,20.5,49.9,,
4887,30.09.04,21:00:00,1.6,10.5,84,22.1,61.3,,
5197,13.10.04,22:00:00,-200.0,3.8,-200,15.2,55.5,,
4090,28.08.04,4:00:00,0.6,2.5,56,20.0,59.3,,
8047,09.02.05,20:00:00,3.8,-200.0,223,-200.0,-200.0,,
2793,05.07.04,2:00:00,0.4,3.0,49,22.5,43.2,,
8784,11.03.05,21:00:00,2.8,13.4,222,12.8,49.3,,
4674,21.09.04,11:00:00,3.1,17.0,158,28.5,39.0,,
4577,17.09.04,0:00:00,1.1,10.7,109,21.3,55.8,,
7666,24.01.05,6:00:00,0.5,1.2,67,7.0,47.2,,
3155,20.07.04,0:00:00,-200.0,8.8,94,27.6,36.6,,
8732,09.03.05,14:00:00,2.2,10.3,123,16.1,36.3,,
1606,16.05.04,21:00:00,1.6,7.0,95,22.9,37.0,115.1140338,64.29234629
6684,14.12.04,23:00:00,2.1,-200.0,108,-200.0,-200.0,,
8041,08.02.05,14:00:00,2.2,8.5,184,13.3,23.3,,
4896,30.09.04,7:00:00,-200.0,24.8,-200,18.0,57.0,,
3431,31.07.04,22:00:00,1.8,11.4,85,28.6,42.3,,
3946,22.08.04,17:00:00,-200.0,4.0,-200,37.3,10.9,,
7059,29.12.04,20:00:00,-200.0,7.2,-200,10.8,47.3,,
104,15.03.04,3:00:00,1.1,4.4,-200,12.6,63.5,49.48382019,56.05920549
7430,14.01.05,5:00:00,1.6,6.9,98,4.3,82.9,,
610,05.04.04,5:00:00,-200.0,3.1,-200,13.5,63.9,120.5478835,167.7329409
1787,24.05.04,11:00:00,0.9,5.5,85,22.3,17.0,112.50697930000001,60.19983782
2325,15.06.04,16:00:00,2.7,16.6,137,35.3,18.8,,
4564,16.09.04,8:00:00,4.1,25.0,81,20.4,72.8,,
4863,29.09.04,14:00:00,2.4,13.5,129,26.4,28.5,,
2197,10.06.04,21:00:00,2.4,12.0,116,27.5,32.6,,
9235,30.03.05,16:00:00,1.7,9.2,135,25.1,28.5,,
5233,14.10.04,14:00:00,-200.0,12.0,-200,21.0,46.8,,
6820,19.12.04,18:00:00,5.5,17.3,175,4.7,83.4,,
3573,06.08.04,16:00:00,2.5,11.6,111,31.5,43.5,,
9168,27.03.05,11:00:00,1.3,4.5,89,15.9,77.3,,
7048,29.12.04,10:00:00,-200.0,3.0,-200,9.9,61.3,,
3039,15.07.04,13:00:00,2.0,12.6,131,35.7,18.9,,
4797,26.09.04,21:00:00,1.8,7.7,112,18.7,39.7,,
4909,01.10.04,23:00:00,-200.0,9.1,-200,20.8,64.1,,
8776,11.03.05,23:00:00,0.5,6.0,151,10.6,55.9,,
3938,21.08.04,23:00:00,-200.0,6.7,-200,23.8,44.7,,
8774,11.03.05,0:00:00,1.4,5.2,133,7.7,41.7,,
5043,06.10.04,18:00:00,-200.0,26.9,-200,25.7,44.1,,
9273,01.04.05,3:00:00,0.5,0.9,29,13.6,46.7,,
6615,11.12.04,16:00:00,1.8,7.8,112,17.8,21.0,,
3851,18.08.04,1:00:00,-200.0,6.0,-200,25.1,40.1,,
6902,23.12.04,10:00:00,3.4,12.8,171,4.3,49.4,,
9191,28.03.05,10:00:00,1.5,5.2,115,17.8,61.7,,
829,14.04.04,6:00:00,1.6,7.4,71,10.3,65.6,123.9282143,150.9950826
6715,15.12.04,20:00:00,2.4,-200.0,115,-200.0,-200.0,,
7296,08.01.05,14:00:00,3.6,14.3,175,13.4,55.9,,
9170,27.03.05,12:00:00,1.5,5.0,97,17.5,67.1,,
1513,12.05.04,12:00:00,3.3,22.7,117,21.9,43.3,111.5130758,69.84316157
839,14.04.04,10:00:00,2.7,12.3,103,19.5,34.4,158.12084730000004,154.98341200000002
1337,05.05.04,6:00:00,1.3,6.9,81,14.5,78.3,47.06528813,132.668499
