,Unnamed: 0,CO,Benzene,NO2,Temperature,Humidity(%),DateTime
4067,9174,0.6,1.9,63,13.9,78.0,2005-03-28 06:00:00
4068,2874,2.6,15.8,128,30.5,29.7,2004-07-08 22:00:00
4071,1408,1.5,6.4,85,13.3,61.8,2004-05-08 00:00:00
4072,2997,2.6,13.3,134,31.3,19.1,2004-07-13 11:00:00
4073,6946,2.5,9.4,121,9.0,70.8,2004-12-25 09:00:00
4075,8002,1.0,2.0,92,4.5,38.1,2005-02-07 01:00:00
4077,1914,0.7,4.5,70,21.3,35.8,2004-05-29 11:00:00
4078,8365,1.4,3.6,150,4.5,75.5,2005-02-22 22:00:00
4079,3072,3.3,18.2,187,37.3,17.3,2004-07-16 17:00:00
4080,8714,3.4,18.3,182,0.9,59.1,2005-03-08 08:00:00
4082,8168,1.1,5.2,120,13.0,27.4,2005-02-14 16:00:00
4084,4553,1.7,10.0,95,21.1,58.3,2004-09-16 12:00:00
4085,1993,2.7,19.5,100,17.1,79.8,2004-06-01 08:00:00
4086,3777,0.4,2.0,27,22.7,59.2,2004-08-15 06:00:00
4087,8125,3.6,9.7,216,5.0,66.6,2005-02-12 02:00:00
4088,6900,2.1,5.2,128,3.0,52.5,2004-12-23 02:00:00
4089,650,2.6,14.5,91,20.9,36.6,2004-04-06 12:00:00
4090,3076,4.2,21.6,170,30.3,25.6,2004-07-16 20:00:00
4091,865,5.2,24.4,149,19.6,35.5,2004-04-15 17:00:00
4092,5092,5.1,29.5,128,23.2,54.7,2004-10-08 10:00:00
4093,6323,1.4,4.6,87,16.5,59.2,2004-11-29 21:00:00
4094,6071,4.9,22.6,214,16.8,55.2,2004-11-18 19:00:00
4096,8227,1.9,8.3,182,6.3,40.1,2005-02-16 00:00:00
4097,5702,2.6,13.2,62,18.0,71.5,2004-11-03 01:00:00
4098,7551,0.2,4.3,114,9.4,53.6,2005-01-19 15:00:00
4099,3188,3.5,14.4,106,28.9,39.1,2004-07-21 23:00:00
4100,2556,2.8,14.4,127,32.9,15.5,2004-06-25 18:00:00
4101,4377,0.6,3.8,89,22.3,33.6,2004-09-09 02:00:00
4103,6037,1.7,5.0,107,9.5,51.0,2004-11-17 00:00:00
4104,7492,3.2,9.8,165,4.9,67.1,2005-01-16 01:00:00
4105,4808,1.0,5.0,75,14.9,58.9,2004-09-27 02:00:00
4108,7845,2.9,14.7,214,13.5,18.7,2005-01-31 15:00:00
4111,8608,2.3,7.5,158,4.3,80.9,2005-03-04 00:00:00
4112,5609,3.1,15.4,102,16.9,79.9,2004-10-30 08:00:00
4115,5755,3.3,20.9,107,20.8,56.3,2004-11-05 12:00:00
4116,1649,2.4,12.3,122,22.2,33.4,2004-05-18 21:00:00
4117,6522,2.6,13.9,110,16.5,54.6,2004-12-07 17:00:00
4120,1664,0.3,2.2,46,17.0,49.2,2004-05-19 05:00:00
4121,1729,3.5,17.5,146,23.9,29.4,2004-05-21 20:00:00
4122,6562,0.4,0.7,29,14.4,68.5,2004-12-09 05:00:00
4123,1618,1.4,5.4,85,19.6,26.5,2004-05-17 00:00:00
4126,6326,1.8,7.3,94,17.3,57.0,2004-11-29 19:00:00
4127,1198,3.9,21.2,136,21.4,44.4,2004-04-29 16:00:00
4128,8535,0.9,2.3,109,3.1,29.1,2005-03-01 11:00:00
4129,1586,2.6,12.0,112,19.6,37.0,2004-05-15 23:00:00
4130,6690,1.9,7.4,107,8.6,70.5,2004-12-14 00:00:00
4132,2770,0.6,4.0,56,38.9,15.6,2004-07-04 16:00:00
4134,5749,1.6,8.8,65,18.5,69.5,2004-11-05 00:00:00
4135,2134,2.8,16.5,126,35.9,18.9,2004-06-07 15:00:00
4136,8010,1.3,4.9,156,12.2,24.0,2005-02-07 15:00:00
4141,2513,2.5,14.4,137,34.3,22.4,2004-06-23 16:00:00
4144,5366,3.9,19.5,109,21.9,68.3,2004-10-20 23:00:00
4147,6849,0.3,0.7,41,4.7,41.4,2004-12-21 05:00:00
4149,9113,1.4,13.6,140,21.3,46.6,2005-03-25 12:00:00
4151,9026,4.5,23.3,198,20.9,39.3,2005-03-21 18:00:00
4152,1903,0.1,2.0,45,17.9,46.1,2004-05-29 06:00:00
4153,6871,0.5,1.5,70,5.2,45.9,2004-12-22 05:00:00
4155,8395,1.9,8.3,210,5.1,74.5,2005-02-23 13:00:00
4157,809,1.8,9.7,87,16.6,36.7,2004-04-13 14:00:00
4159,8932,5.6,24.8,228,17.3,35.2,2005-03-17 20:00:00
4160,5624,0.4,1.4,30,20.4,71.2,2004-10-31 07:00:00
4161,1121,1.3,5.4,77,19.7,32.5,2004-04-26 14:00:00
4162,3734,1.0,5.1,76,32.0,28.2,2004-08-13 18:00:00
4163,9071,3.9,18.8,194,18.8,37.3,2005-03-23 21:00:00
4164,1296,3.7,19.4,120,23.5,43.7,2004-05-03 19:00:00
4165,5157,3.2,17.2,90,20.2,68.9,2004-10-11 14:00:00
4166,9088,2.3,11.0,142,22.9,35.2,2005-03-24 16:00:00
4167,7304,0.6,1.6,46,12.5,67.3,2005-01-09 06:00:00
4168,2658,2.5,15.7,133,37.8,24.4,2004-06-29 13:00:00
4169,6941,6.9,24.8,197,9.8,52.4,2004-12-24 13:00:00
4170,6011,1.0,2.8,76,11.2,42.0,2004-11-16 01:00:00
4171,2750,1.2,7.3,89,35.3,17.0,2004-07-03 18:00:00
4174,5585,2.1,9.1,107,17.3,79.3,2004-10-29 23:00:00
4175,6806,1.5,6.2,101,5.0,48.8,2004-12-19 10:00:00
4178,7908,1.7,5.6,156,4.5,47.9,2005-02-03 00:00:00
4179,7474,1.0,2.6,96,10.7,34.4,2005-01-16 11:00:00
4180,6412,7.8,36.6,161,15.4,73.0,2004-12-02 20:00:00
4181,2618,2.4,11.9,137,29.0,33.6,2004-06-27 22:00:00
4183,5886,1.1,4.0,84,12.7,71.0,2004-11-11 23:00:00
4185,1052,3.8,22.0,169,26.9,25.7,2004-04-23 11:00:00
4186,1560,3.5,16.1,148,23.1,27.2,2004-05-14 20:00:00
4187,1675,1.7,9.0,103,19.7,47.1,2004-05-19 22:00:00
4189,6389,6.2,26.8,174,12.3,79.7,2004-12-01 17:00:00
4190,3132,0.8,8.3,89,21.4,46.5,2004-07-19 06:00:00
4192,2806,2.5,13.6,125,30.7,28.9,2004-07-05 20:00:00
4194,8755,1.6,5.7,123,7.8,65.5,2005-03-10 00:00:00
4197,2264,0.6,1.9,52,23.4,34.9,2004-06-13 13:00:00
4198,8272,1.6,6.6,146,10.9,32.6,2005-02-18 14:00:00
4199,5954,3.6,14.1,166,21.5,42.7,2004-11-13 13:00:00
4200,5977,0.8,1.8,57,11.9,55.5,2004-11-14 00:00:00
4201,8140,5.2,23.2,262,11.1,56.9,2005-02-12 21:00:00
4202,3607,0.7,2.6,36,23.4,61.7,2004-08-08 06:00:00
4203,7917,2.7,13.8,241,12.2,34.3,2005-02-03 13:00:00
4204,3650,1.6,9.7,74,28.8,45.9,2004-08-09 21:00:00
4205,8225,1.6,7.0,148,8.2,41.8,2005-02-16 17:00:00
4206,8824,0.3,2.8,110,17.2,46.2,2005-03-13 14:00:00
4207,6807,2.6,9.6,132,6.0,47.6,2004-12-19 12:00:00
4209,1113,0.4,1.2,44,13.9,43.9,2004-04-26 05:00:00
4210,4773,1.0,4.6,52,16.9,47.7,2004-09-25 09:00:00
4211,3209,2.5,15.0,112,32.2,30.4,2004-07-22 21:00:00
4214,7836,1.5,3.0,126,3.4,38.9,2005-01-31 01:00:00
4216,7808,0.5,0.7,62,2.7,43.2,2005-01-30 08:00:00
4217,8280,2.8,12.6,204,9.7,36.0,2005-02-18 18:00:00
4219,2176,1.8,10.9,116,40.3,16.1,2004-06-09 15:00:00
4220,1394,3.7,19.8,106,14.9,56.9,2004-05-07 07:00:00
4221,7673,1.2,7.3,152,6.9,42.5,2005-01-24 20:00:00
4222,3669,1.7,10.6,79,34.7,35.9,2004-08-10 19:00:00
4223,2700,1.8,10.9,127,37.8,22.7,2004-07-01 16:00:00
4224,8364,0.8,2.1,85,4.4,80.5,2005-02-22 01:00:00
4226,4387,2.2,14.8,143,34.9,18.5,2004-09-09 11:00:00
4227,9127,0.1,4.9,83,16.1,70.0,2005-03-26 06:00:00
4230,7855,1.1,3.8,123,4.1,50.1,2005-02-01 01:00:00
4232,2764,1.9,10.2,103,25.2,42.7,2004-07-03 23:00:00
4233,2302,1.4,5.4,70,24.5,38.4,2004-06-14 15:00:00
4234,5882,2.7,13.4,167,10.2,71.3,2004-11-10 23:00:00
4236,4693,1.8,9.6,93,22.9,62.0,2004-09-22 23:00:00
4241,1264,1.1,5.5,67,25.9,28.1,2004-05-02 16:00:00
4242,6801,1.0,3.8,110,2.5,59.3,2004-12-19 08:00:00
4243,8865,0.7,2.0,69,11.1,66.1,2005-03-15 02:00:00
4244,5486,3.0,18.2,108,19.3,66.2,2004-10-25 11:00:00
4245,1143,1.8,8.8,100,18.9,40.6,2004-04-27 22:00:00
4247,2492,3.0,17.1,154,31.4,25.3,2004-06-22 13:00:00
4248,5962,0.3,0.4,39,10.7,36.0,2004-11-14 09:00:00
4250,5634,1.8,8.8,71,22.0,67.0,2004-10-31 13:00:00
4252,3769,1.2,6.8,68,25.0,53.2,2004-08-14 08:00:00
4253,3119,0.8,7.4,73,31.6,22.9,2004-07-18 20:00:00
4254,7536,5.5,26.0,216,5.1,83.0,2005-01-18 19:00:00
4256,8496,1.6,5.2,128,11.2,37.1,2005-02-27 11:00:00
4258,8828,1.0,6.6,172,14.6,51.6,2005-03-13 21:00:00
4259,8991,1.2,3.4,109,21.5,35.0,2005-03-20 13:00:00
4261,8710,2.4,8.4,206,7.5,44.0,2005-03-08 22:00:00
4262,7130,1.6,8.8,106,5.3,50.7,2005-01-01 01:00:00
4263,2812,4.3,24.1,203,37.3,19.9,2004-07-05 18:00:00
4264,3893,1.7,9.3,66,33.9,37.1,2004-08-19 19:00:00
4265,5560,2.4,12.2,112,20.4,58.1,2004-10-28 11:00:00
4267,6487,0.6,1.7,54,11.9,79.6,2004-12-06 04:00:00
4268,7255,0.7,1.8,63,6.7,75.0,2005-01-07 06:00:00
4270,5134,1.8,7.8,71,20.8,73.1,2004-10-10 17:00:00
4271,8720,0.9,2.8,112,2.3,63.5,2005-03-09 05:00:00
4272,7298,4.3,16.9,179,12.2,65.8,2005-01-08 19:00:00
4275,3454,0.9,5.8,48,32.4,37.3,2004-08-01 10:00:00
4276,2988,1.3,7.3,62,16.2,57.4,2004-07-13 06:00:00
4277,2732,1.8,10.1,112,34.6,27.7,2004-07-02 11:00:00
4278,2746,0.7,4.6,77,23.4,40.6,2004-07-03 02:00:00
4279,6476,1.3,4.4,72,13.0,67.6,2004-12-05 11:00:00
4282,7216,2.8,13.5,152,13.6,64.0,2005-01-05 18:00:00
4283,9143,2.2,10.3,126,17.3,60.8,2005-03-26 22:00:00
4284,2417,0.5,3.2,62,22.8,48.9,2004-06-19 06:00:00
4285,7750,1.5,4.7,126,7.3,36.8,2005-01-27 14:00:00
4286,6256,4.3,18.6,154,13.4,69.0,2004-11-26 23:00:00
4289,5410,1.0,6.5,55,19.8,69.2,2004-10-22 06:00:00
4290,2248,1.1,6.2,61,32.5,27.6,2004-06-12 18:00:00
4291,1643,1.0,5.2,65,20.0,31.5,2004-05-18 00:00:00
4292,684,1.4,4.8,97,9.3,75.0,2004-04-08 00:00:00
4293,6457,3.1,10.9,120,13.1,81.7,2004-12-04 18:00:00
4294,9091,3.4,15.0,115,16.1,46.4,2005-03-24 09:00:00
4296,6408,5.0,27.9,139,13.3,70.7,2004-12-02 09:00:00
4297,536,1.0,3.2,60,13.3,60.9,2004-04-02 02:00:00
4298,8586,1.2,5.1,121,2.8,74.1,2005-03-03 06:00:00
4300,7012,1.9,9.1,133,11.5,68.7,2004-12-27 08:00:00
4301,8404,2.9,11.4,243,4.2,79.7,2005-02-23 21:00:00
4303,1535,3.3,17.4,123,17.5,56.4,2004-05-13 23:00:00
4304,1918,0.8,5.8,83,22.4,31.3,2004-05-29 18:00:00
4305,9218,3.3,16.7,155,18.3,53.9,2005-03-29 17:00:00
4306,3680,0.7,3.5,32,25.9,63.6,2004-08-11 05:00:00
4308,5124,1.0,5.6,51,24.1,59.0,2004-10-10 09:00:00
4309,3728,0.5,1.7,11,25.4,63.1,2004-08-13 04:00:00
4310,6872,0.5,1.7,74,4.7,49.0,2004-12-22 06:00:00
4311,7671,0.6,5.4,151,10.0,40.6,2005-01-24 11:00:00
4312,8886,0.6,1.6,86,8.0,68.9,2005-03-16 05:00:00
4313,2525,4.8,21.8,163,28.5,33.3,2004-06-23 20:00:00
4314,1330,1.1,3.7,67,13.9,72.5,2004-05-05 22:00:00
4316,744,1.7,6.9,78,11.5,70.1,2004-04-10 01:00:00
4317,5713,3.4,19.3,95,26.6,42.8,2004-11-03 11:00:00
4318,6572,1.5,5.4,103,15.5,51.7,2004-12-09 12:00:00
4319,4709,5.5,34.3,119,20.1,62.7,2004-09-22 08:00:00
4321,3844,2.2,12.9,68,22.5,52.3,2004-08-17 07:00:00
4322,1134,0.7,1.7,39,15.7,42.5,2004-04-27 01:00:00
4323,2363,1.7,8.2,97,25.8,40.9,2004-06-17 21:00:00
4324,6195,11.5,49.4,190,11.5,76.2,2004-11-23 20:00:00
4325,1827,2.4,18.5,138,32.6,9.3,2004-05-25 14:00:00
4326,2644,4.6,24.2,182,28.5,36.8,2004-06-28 09:00:00
4327,6194,7.3,35.4,215,13.6,71.0,2004-11-23 17:00:00
4328,6664,3.4,16.7,138,7.3,61.4,2004-12-13 09:00:00
4329,5616,3.7,18.7,160,22.4,60.8,2004-10-30 12:00:00
4330,7741,0.2,2.6,87,4.2,46.8,2005-01-27 00:00:00
4331,5678,2.6,13.9,66,19.2,68.8,2004-11-02 23:00:00
4332,4701,3.3,18.3,180,29.1,36.7,2004-09-22 11:00:00
4333,4580,1.6,9.0,89,22.8,41.8,2004-09-17 12:00:00
4335,7962,1.4,5.2,168,6.0,40.2,2005-02-05 20:00:00
4337,6495,1.5,5.8,79,14.6,64.7,2004-12-06 23:00:00
4339,4479,2.2,12.6,120,32.1,33.5,2004-09-13 14:00:00
4340,8992,1.6,4.3,130,18.6,42.6,2005-03-20 12:00:00
4341,4388,2.5,16.2,168,35.1,17.5,2004-09-09 14:00:00
4343,2374,2.9,14.3,124,27.3,37.5,2004-06-17 20:00:00
4344,2180,2.9,17.5,146,25.1,43.0,2004-06-09 09:00:00
4345,3481,1.9,11.1,115,32.7,36.9,2004-08-02 10:00:00
4346,1793,1.3,7.2,85,23.8,14.5,2004-05-24 13:00:00
4348,1086,0.3,0.7,20,12.5,50.9,2004-04-25 05:00:00
4349,9233,1.5,6.6,112,15.3,65.4,2005-03-30 23:00:00
4350,6117,0.7,7.2,133,6.1,45.2,2004-11-20 23:00:00
4352,3588,1.0,5.3,56,38.1,21.1,2004-08-07 15:00:00
4354,5907,4.5,21.0,194,11.2,80.7,2004-11-11 11:00:00
4355,7234,0.9,3.4,67,10.7,69.5,2005-01-06 05:00:00
4357,1148,2.5,12.5,122,19.9,37.8,2004-04-27 21:00:00
4358,6394,1.9,5.5,96,11.7,77.8,2004-12-02 01:00:00
4359,1762,1.0,4.2,76,19.2,42.3,2004-05-23 23:00:00
4360,5156,3.1,18.3,87,20.2,67.4,2004-10-11 13:00:00
4363,8400,2.5,10.1,232,5.7,72.5,2005-02-23 14:00:00
4364,8333,2.2,8.3,174,7.8,50.0,2005-02-20 02:00:00
4365,2914,0.6,4.4,54,33.1,18.3,2004-07-10 15:00:00
4366,8737,4.3,20.9,190,3.3,61.6,2005-03-09 08:00:00
4368,8513,1.0,2.9,110,3.7,35.0,2005-02-28 14:00:00
4371,6224,2.2,9.4,89,4.3,85.4,2004-11-25 04:00:00
4374,1826,3.2,18.5,155,28.3,9.9,2004-05-25 11:00:00
4378,884,4.1,18.7,116,13.8,61.1,2004-04-16 08:00:00
4379,2917,0.8,5.8,67,30.3,21.4,2004-07-10 18:00:00
4380,688,1.9,10.7,95,21.0,25.4,2004-04-08 16:00:00
4381,6803,1.0,3.2,99,3.2,55.7,2004-12-19 09:00:00
4382,6176,1.3,6.4,92,8.2,81.4,2004-11-23 05:00:00
4383,1171,2.8,16.8,139,26.7,28.7,2004-04-28 11:00:00
4384,5969,0.6,1.2,62,12.4,31.3,2004-11-14 13:00:00
4385,6073,4.7,20.2,278,13.4,52.8,2004-11-18 11:00:00
4386,6590,0.6,1.9,58,11.9,54.6,2004-12-10 00:00:00
4387,7738,0.7,1.4,91,4.6,38.1,2005-01-27 07:00:00
4390,6698,4.2,21.8,192,15.1,50.2,2004-12-14 14:00:00
4391,4367,2.0,10.6,131,25.4,30.5,2004-09-08 23:00:00
4393,5802,1.0,3.7,34,17.6,33.8,2004-11-07 13:00:00
4396,7262,1.7,7.6,99,6.0,78.5,2005-01-07 08:00:00
4398,8434,1.8,6.7,140,12.5,38.5,2005-02-25 15:00:00
4400,5397,3.6,24.3,104,22.6,61.4,2004-10-21 08:00:00
4401,9240,2.9,14.7,117,12.1,67.3,2005-03-30 08:00:00
4402,3040,2.1,12.1,116,24.0,34.9,2004-07-15 00:00:00
4403,1541,4.6,21.2,141,19.1,52.3,2004-05-13 20:00:00
4404,5450,4.1,17.7,117,21.6,67.7,2004-10-23 20:00:00
4406,1137,0.8,2.2,51,15.4,43.0,2004-04-27 00:00:00
4407,7355,1.5,4.9,107,13.2,66.8,2005-01-11 01:00:00
4409,6979,1.3,5.2,114,12.0,72.3,2004-12-26 23:00:00
4410,8856,4.0,14.2,192,15.3,52.6,2005-03-14 21:00:00
4412,6029,5.2,26.3,222,11.3,43.9,2004-11-16 09:00:00
4413,8503,0.9,1.9,90,1.1,35.4,2005-02-28 22:00:00
4414,1119,1.4,5.3,84,16.3,38.4,2004-04-26 09:00:00
4416,525,2.0,8.5,103,14.9,52.0,2004-04-01 23:00:00
4418,6527,2.8,12.6,98,11.7,68.9,2004-12-07 08:00:00
4419,885,4.0,17.5,126,14.4,77.4,2004-04-16 15:00:00
4420,1053,4.4,25.3,196,30.0,19.4,2004-04-23 15:00:00
4422,833,2.1,10.4,95,18.4,34.2,2004-04-14 12:00:00
4423,5566,3.5,20.0,97,16.7,73.8,2004-10-28 09:00:00
4424,4478,2.0,11.3,208,32.6,31.8,2004-09-13 15:00:00
4425,4373,4.7,24.1,176,29.9,22.3,2004-09-08 19:00:00
4428,5939,0.9,3.3,86,16.1,55.4,2004-11-13 07:00:00
4429,1201,4.9,24.8,143,20.8,45.3,2004-04-29 17:00:00
4431,7398,0.9,3.2,77,7.0,77.3,2005-01-13 05:00:00
4432,6217,3.9,18.6,135,10.1,83.5,2004-11-24 00:00:00
4435,1123,1.5,6.6,80,19.6,30.9,2004-04-26 12:00:00
4437,1592,0.4,2.0,47,14.2,49.9,2004-05-16 06:00:00
4438,4588,2.9,15.2,112,23.6,42.8,2004-09-17 17:00:00
4439,1155,3.9,21.6,131,23.7,30.2,2004-04-27 19:00:00
4440,8625,1.1,3.5,110,4.2,62.5,2005-03-05 05:00:00
4441,3818,1.6,10.9,65,23.6,40.8,2004-08-16 08:00:00
4443,6465,0.8,1.9,68,13.2,62.5,2004-12-05 08:00:00
4444,3229,1.5,12.3,123,43.1,13.8,2004-07-23 15:00:00
4445,8220,0.8,3.8,137,3.2,52.4,2005-02-16 05:00:00
4446,3609,0.6,2.8,38,24.3,58.4,2004-08-08 07:00:00
4447,8144,1.0,4.3,100,17.1,35.8,2005-02-13 17:00:00
4448,4617,1.0,4.8,62,16.8,66.8,2004-09-19 07:00:00
4449,2094,0.5,2.3,48,25.9,28.8,2004-06-06 13:00:00
4451,2124,1.9,11.8,132,31.3,24.1,2004-06-07 12:00:00
4453,5704,2.6,13.2,86,26.3,43.6,2004-11-03 13:00:00
4455,9067,2.5,12.3,159,23.2,23.3,2005-03-23 17:00:00
4456,2330,3.1,18.4,143,32.6,24.1,2004-06-15 17:00:00
4457,6141,1.1,6.3,147,9.8,36.0,2004-11-21 20:00:00
4459,2576,0.9,4.5,61,21.2,37.6,2004-06-26 02:00:00
4460,2312,0.4,2.0,38,20.8,48.5,2004-06-15 04:00:00
4461,7744,1.5,4.7,139,7.0,33.5,2005-01-27 16:00:00
4462,3666,1.8,9.7,126,39.6,23.3,2004-08-10 17:00:00
4463,2976,2.1,12.1,104,28.5,27.3,2004-07-12 12:00:00
4464,1673,2.3,14.0,125,31.6,21.0,2004-05-19 15:00:00
4467,8205,1.6,5.3,168,9.4,32.7,2005-02-15 10:00:00
4468,5743,0.5,2.8,41,16.5,71.0,2004-11-05 04:00:00
4469,1149,2.4,14.6,87,27.2,22.0,2004-04-27 12:00:00
4470,4575,1.3,6.3,94,22.1,42.8,2004-09-17 23:00:00
4471,8634,2.2,8.3,162,13.4,29.0,2005-03-05 14:00:00
4473,3611,0.8,4.5,39,24.9,57.3,2004-08-08 02:00:00
4474,8357,6.3,19.7,283,5.5,79.8,2005-02-21 20:00:00
4475,8153,2.6,11.6,132,15.5,40.7,2005-02-13 18:00:00
4477,7599,3.0,16.8,139,13.1,48.0,2005-01-21 15:00:00
4478,3046,2.0,12.1,130,33.4,24.7,2004-07-15 12:00:00
4479,6778,0.8,3.8,78,15.9,18.2,2004-12-18 13:00:00
4480,3741,1.2,5.8,109,35.7,29.0,2004-08-13 11:00:00
4481,1721,2.5,13.3,126,20.5,35.9,2004-05-21 22:00:00
4483,5425,4.1,28.0,91,20.4,66.7,2004-10-22 08:00:00
4484,5448,3.0,16.2,102,23.3,57.5,2004-10-23 11:00:00
4485,9106,1.0,4.1,101,13.9,80.4,2005-03-25 03:00:00
4486,8033,0.6,1.3,69,6.4,42.7,2005-02-08 05:00:00
4488,3416,0.8,4.7,49,23.7,54.6,2004-07-31 05:00:00
4490,7479,1.2,3.9,130,7.0,41.5,2005-01-16 22:00:00
4491,2682,2.6,14.2,112,27.8,45.2,2004-06-30 23:00:00
4493,4416,2.6,15.6,165,33.3,18.9,2004-09-10 13:00:00
4495,5458,1.2,7.5,47,17.3,78.4,2004-10-24 06:00:00
4496,2823,1.6,10.2,97,21.8,52.5,2004-07-06 06:00:00
4497,6879,1.9,5.7,132,4.5,43.9,2004-12-22 23:00:00
4498,5651,2.7,13.0,71,19.3,75.8,2004-11-01 23:00:00
4499,6020,2.2,7.8,142,10.7,47.5,2004-11-16 22:00:00
4500,7844,2.8,12.5,256,10.0,22.4,2005-01-31 11:00:00
4501,2361,1.0,4.4,68,20.8,51.7,2004-06-17 02:00:00
4502,2680,2.5,14.4,110,28.9,41.0,2004-06-30 22:00:00
4503,6501,2.7,15.6,114,18.7,53.0,2004-12-06 16:00:00
4504,8329,1.5,4.6,149,7.4,59.3,2005-02-20 20:00:00
4506,3780,0.5,2.5,28,23.0,58.4,2004-08-15 07:00:00
4507,8226,2.4,8.3,200,5.8,40.3,2005-02-16 23:00:00
4508,6565,0.8,2.0,66,14.7,67.3,2004-12-09 02:00:00
4509,7907,0.6,4.2,134,1.3,63.1,2005-02-03 07:00:00
4510,6909,4.3,17.9,177,11.3,33.6,2004-12-23 16:00:00
4511,4225,2.9,20.0,27,21.6,57.2,2004-09-02 07:00:00
4512,4641,0.7,3.0,43,21.4,57.6,2004-09-20 02:00:00
4514,4374,0.2,2.3,68,21.4,35.7,2004-09-09 04:00:00
4515,7143,1.3,3.6,96,4.5,63.6,2005-01-02 02:00:00
4516,7804,1.5,2.9,140,3.1,47.4,2005-01-29 21:00:00
4517,4101,1.7,8.3,81,24.7,41.8,2004-08-28 09:00:00
4520,3120,0.9,7.4,97,31.6,23.8,2004-07-18 10:00:00
4522,537,0.7,2.6,66,11.3,72.9,2004-04-02 05:00:00
4524,5555,0.8,5.2,48,15.2,78.0,2004-10-28 05:00:00
4525,8729,1.9,8.6,121,17.3,34.5,2005-03-09 15:00:00
4526,7138,1.1,2.7,75,3.1,69.2,2005-01-02 05:00:00
4528,7111,1.0,3.0,86,3.9,59.0,2005-01-01 09:00:00
4529,7563,0.4,4.4,109,9.9,79.8,2005-01-19 02:00:00
4530,1772,0.9,5.5,56,23.9,40.4,2004-05-23 20:00:00
4532,1077,2.0,11.0,95,24.3,41.8,2004-04-24 14:00:00
4533,7883,2.4,5.2,136,3.5,60.9,2005-02-02 07:00:00
4534,645,3.0,15.0,120,16.8,44.3,2004-04-06 18:00:00
4537,6604,4.2,18.7,164,13.7,22.9,2004-12-10 19:00:00
4538,2774,0.6,4.3,49,21.2,56.8,2004-07-04 04:00:00
4539,6000,2.4,8.6,162,11.1,38.1,2004-11-15 09:00:00
4543,9177,1.0,2.7,78,13.7,80.6,2005-03-28 03:00:00
4544,5509,1.6,7.5,78,17.7,78.8,2004-10-26 23:00:00
4545,2876,2.2,16.9,115,25.9,37.4,2004-07-08 07:00:00
4546,1393,3.4,15.0,127,16.0,50.9,2004-05-07 09:00:00
4547,1913,0.6,5.1,75,23.8,29.2,2004-05-29 16:00:00
4549,8249,1.8,5.4,167,10.1,36.7,2005-02-17 10:00:00
4552,6486,1.0,2.3,64,13.2,62.9,2004-12-06 00:00:00
4556,8311,0.5,1.1,56,7.8,55.7,2005-02-20 07:00:00
4559,1563,4.5,21.8,164,24.6,25.1,2004-05-14 19:00:00
4560,5536,2.4,15.8,101,20.0,63.3,2004-10-27 17:00:00
4562,2991,2.3,11.5,112,34.5,13.3,2004-07-13 13:00:00
4563,4573,1.2,5.5,90,22.2,42.7,2004-09-17 22:00:00
4564,2254,1.4,9.0,84,36.4,21.0,2004-06-12 16:00:00
4565,7124,2.1,6.4,130,5.7,59.9,2005-01-01 22:00:00
4566,5148,1.3,6.1,55,20.1,70.5,2004-10-11 00:00:00
4567,524,2.5,10.8,124,16.8,44.0,2004-04-01 21:00:00
4568,3574,2.6,13.2,116,26.4,54.6,2004-08-06 20:00:00
4569,9093,3.5,18.1,132,17.9,42.2,2005-03-24 10:00:00
4571,3211,2.3,13.6,100,30.4,35.4,2004-07-22 22:00:00
4573,7282,1.4,4.6,95,7.0,73.6,2005-01-08 02:00:00
4576,9228,1.2,4.9,101,13.0,71.9,2005-03-30 00:00:00
4578,5472,2.0,9.7,87,26.5,44.9,2004-10-24 16:00:00
4580,9163,1.6,4.4,122,13.8,83.5,2005-03-27 18:00:00
4582,6187,5.1,25.5,202,14.2,66.8,2004-11-23 15:00:00
4583,1987,2.3,15.2,103,18.5,70.3,2004-06-01 09:00:00
4584,4682,5.6,30.3,204,28.5,37.2,2004-09-21 18:00:00
4586,3678,0.5,3.2,24,26.4,61.6,2004-08-11 04:00:00
4587,3019,2.0,14.4,127,35.7,13.6,2004-07-14 14:00:00
4589,8360,0.7,1.1,66,3.9,83.1,2005-02-22 02:00:00
4590,5138,2.0,11.9,74,23.9,59.2,2004-10-10 01:00:00
4591,1310,1.3,7.9,65,20.3,54.8,2004-05-04 10:00:00
4593,4096,1.1,5.8,64,33.4,22.5,2004-08-28 13:00:00
4597,4849,3.7,19.9,177,21.0,37.2,2004-09-28 10:00:00
4602,5451,3.4,19.4,118,25.0,52.4,2004-10-23 12:00:00
4603,7603,4.2,20.5,183,9.3,54.5,2005-01-21 11:00:00
4606,5119,0.7,3.7,39,22.2,65.6,2004-10-10 05:00:00
4607,7009,2.3,10.0,138,12.5,63.2,2004-12-27 09:00:00
4609,2913,0.7,5.5,69,31.8,18.7,2004-07-10 17:00:00
4610,3733,1.0,4.6,70,34.0,25.2,2004-08-13 17:00:00
4611,8239,0.5,1.1,51,6.9,42.2,2005-02-17 06:00:00
4612,4706,5.0,27.3,218,32.2,28.8,2004-09-22 17:00:00
4614,1939,0.6,6.5,76,19.2,42.0,2004-05-30 02:00:00
4615,6165,2.4,16.9,164,8.5,57.8,2004-11-22 22:00:00
